;"winsor-newton-lab.txt" color dictionary
;Copyright 2010 Aubrey Jaffer
;
;Permission to copy this dictionary, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1.  Any copy made of this dictionary must include this copyright notice
;in full.
;
;2.  I have made no warranty or representation that this data is
;error-free, and I am under no obligation to provide any services, by
;way of maintenance, update, or otherwise.
;
;3.  In conjunction with products arising from the use of this material,
;there shall be no use of my name in any advertising, promotional, or
;sales literature without prior written consent in each case.

XCMS_COLORDB_START 0.1
lamp black light		CIELab:47.19/-0.11/4.14
LampBlackLight			CIELab:47.19/-0.11/4.14
lamp black medium		CIELab:14.32/-0.07/-0.34
LampBlackMedium			CIELab:14.32/-0.07/-0.34
lamp black dark			CIELab:9.81/-0.03/-0.18
LampBlackDark			CIELab:9.81/-0.03/-0.18
ivory black light		CIELab:72.03/-0.03/9.89
IvoryBlackLight			CIELab:72.03/-0.03/9.89
ivory black medium		CIELab:44.20/0.68/8.97
IvoryBlackMedium		CIELab:44.20/0.68/8.97
ivory black dark		CIELab:21.87/0.73/5.13
IvoryBlackDark			CIELab:21.87/0.73/5.13
mars black light		CIELab:70.40/0.32/9.01
MarsBlackLight			CIELab:70.40/0.32/9.01
mars black medium		CIELab:28.33/0.64/3.38
MarsBlackMedium			CIELab:28.33/0.64/3.38
mars black dark			CIELab:17.30/0.22/-0.01
MarsBlackDark			CIELab:17.30/0.22/-0.01
blue black light		CIELab:47.58/-2.61/-0.20
BlueBlackLight			CIELab:47.58/-2.61/-0.20
blue black medium		CIELab:30.98/-2.76/-6.19
BlueBlackMedium			CIELab:30.98/-2.76/-6.19
blue black dark			CIELab:5.31/-1.01/-6.64
BlueBlackDark			CIELab:5.31/-1.01/-6.64
paynes gray light		CIELab:67.51/-2.10/1.76
PaynesGrayLight			CIELab:67.51/-2.10/1.76
paynes gray medium		CIELab:37.82/-2.39/-7.05
PaynesGrayMedium		CIELab:37.82/-2.39/-7.05
paynes gray dark		CIELab:25.24/-1.97/-7.56
PaynesGrayDark			CIELab:25.24/-1.97/-7.56
charcoal gray light		CIELab:55.84/-0.17/9.53
CharcoalGrayLight		CIELab:55.84/-0.17/9.53
charcoal gray medium		CIELab:32.33/0.20/6.53
CharcoalGrayMedium		CIELab:32.33/0.20/6.53
charcoal gray dark		CIELab:10.17/0.14/2.49
CharcoalGrayDark		CIELab:10.17/0.14/2.49
davys gray light		CIELab:76.80/-1.36/19.28
DavysGrayLight			CIELab:76.80/-1.36/19.28
davys gray medium		CIELab:61.53/-1.34/21.11
DavysGrayMedium			CIELab:61.53/-1.34/21.11
davys gray dark			CIELab:51.88/-1.17/20.71
DavysGrayDark			CIELab:51.88/-1.17/20.71
raw umber light			CIELab:55.86/3.31/27.12
RawUmberLight			CIELab:55.86/3.31/27.12
raw umber medium		CIELab:31.03/4.16/15.81
RawUmberMedium			CIELab:31.03/4.16/15.81
raw umber dark			CIELab:28.26/3.86/13.16
RawUmberDark			CIELab:28.26/3.86/13.16
vandyke brown light		CIELab:57.66/7.52/31.17
VandykeBrownLight		CIELab:57.66/7.52/31.17
vandyke brown medium		CIELab:38.24/9.93/26.47
VandykeBrownMedium		CIELab:38.24/9.93/26.47
vandyke brown dark		CIELab:26.55/6.24/9.20
VandykeBrownDark		CIELab:26.55/6.24/9.20
burnt umber light		CIELab:36.30/12.34/27.37
BurntUmberLight			CIELab:36.30/12.34/27.37
burnt umber medium		CIELab:24.15/2.81/3.99
BurntUmberMedium		CIELab:24.15/2.81/3.99
burnt umber dark		CIELab:23.24/2.75/4.20
BurntUmberDark			CIELab:23.24/2.75/4.20
brown madder light		CIELab:65.99/11.01/29.68
BrownMadderLight		CIELab:65.99/11.01/29.68
brown madder medium		CIELab:46.58/16.10/32.74
BrownMadderMedium		CIELab:46.58/16.10/32.74
brown madder dark		CIELab:29.29/16.60/23.30
BrownMadderDark			CIELab:29.29/16.60/23.30
mars violet deep light		CIELab:68.95/10.57/11.51
MarsVioletDeepLight		CIELab:68.95/10.57/11.51
mars violet deep medium		CIELab:34.85/15.42/11.07
MarsVioletDeepMedium		CIELab:34.85/15.42/11.07
mars violet deep dark		CIELab:26.43/16.15/11.61
MarsVioletDeepDark		CIELab:26.43/16.15/11.61
mars violet light		CIELab:76.55/10.19/23.29
MarsVioletLight			CIELab:76.55/10.19/23.29
mars violet medium		CIELab:61.13/18.45/23.90
MarsVioletMedium		CIELab:61.13/18.45/23.90
mars violet dark		CIELab:32.34/24.66/27.48
MarsVioletDark			CIELab:32.34/24.66/27.48
indian red light		CIELab:67.15/17.48/20.63
IndianRedLight			CIELab:67.15/17.48/20.63
indian red medium		CIELab:36.78/26.95/28.28
IndianRedMedium			CIELab:36.78/26.95/28.28
indian red dark			CIELab:30.47/24.34/27.03
IndianRedDark			CIELab:30.47/24.34/27.03
venetian red light		CIELab:59.17/28.04/40.01
VenetianRedLight		CIELab:59.17/28.04/40.01
venetian red medium		CIELab:42.05/30.75/40.72
VenetianRedMedium		CIELab:42.05/30.75/40.72
venetian red dark		CIELab:35.82/27.33/37.35
VenetianRedDark			CIELab:35.82/27.33/37.35
pale red light			CIELab:71.03/17.60/39.10
PaleRedLight			CIELab:71.03/17.60/39.10
pale red medium			CIELab:47.67/28.99/47.71
PaleRedMedium			CIELab:47.67/28.99/47.71
pale red dark			CIELab:37.44/27.09/38.12
PaleRedDark			CIELab:37.44/27.09/38.12
terra rosa light		CIELab:64.48/24.35/39.96
TerraRosaLight			CIELab:64.48/24.35/39.96
terra rosa medium		CIELab:45.52/32.51/49.90
TerraRosaMedium			CIELab:45.52/32.51/49.90
terra rosa dark			CIELab:38.98/31.21/48.70
TerraRosaDark			CIELab:38.98/31.21/48.70
mars orage light		CIELab:44.69/27.61/46.44
MarsOrageLight			CIELab:44.69/27.61/46.44
mars orage medium		CIELab:40.78/22.49/39.46
MarsOrageMedium			CIELab:40.78/22.49/39.46
mars orage dark			CIELab:40.74/21.69/37.63
MarsOrageDark			CIELab:40.74/21.69/37.63
mars brown light		CIELab:71.79/13.82/33.09
MarsBrownLight			CIELab:71.79/13.82/33.09
mars brown medium		CIELab:48.34/21.83/40.21
MarsBrownMedium			CIELab:48.34/21.83/40.21
mars brown dark			CIELab:30.00/17.32/28.06
MarsBrownDark			CIELab:30.00/17.32/28.06
burnt sienna light		CIELab:55.37/21.52/46.28
BurntSiennaLight		CIELab:55.37/21.52/46.28
burnt sienna medium		CIELab:39.36/21.25/26.50
BurntSiennaMedium		CIELab:39.36/21.25/26.50
burnt sienna dark		CIELab:34.34/17.78/18.58
BurntSiennaDark			CIELab:34.34/17.78/18.58
trans gold ochre light		CIELab:82.41/4.60/53.09
TransGoldOchreLight		CIELab:82.41/4.60/53.09
trans gold ochre medium		CIELab:67.21/14.15/74.46
TransGoldOchreMedium		CIELab:67.21/14.15/74.46
trans gold ochre dark		CIELab:62.44/16.33/71.63
TransGoldOchreDark		CIELab:62.44/16.33/71.63
raw sienna light		CIELab:82.14/6.13/55.81
RawSiennaLight			CIELab:82.14/6.13/55.81
raw sienna medium		CIELab:73.62/12.29/70.47
RawSiennaMedium			CIELab:73.62/12.29/70.47
raw sienna dark			CIELab:65.28/16.98/74.32
RawSiennaDark			CIELab:65.28/16.98/74.32
yellow ochre light		CIELab:82.39/6.00/57.39
YellowOchreLight		CIELab:82.39/6.00/57.39
yellow ochre medium		CIELab:67.01/15.24/70.61
YellowOchreMedium		CIELab:67.01/15.24/70.61
yellow ochre dark		CIELab:58.85/15.89/59.05
YellowOchreDark			CIELab:58.85/15.89/59.05
mars yellow light		CIELab:85.54/4.65/51.70
MarsYellowLight			CIELab:85.54/4.65/51.70
mars yellow medium		CIELab:68.93/15.27/76.26
MarsYellowMedium		CIELab:68.93/15.27/76.26
mars yellow dark		CIELab:61.87/14.14/65.33
MarsYellowDark			CIELab:61.87/14.14/65.33
gold ochre light		CIELab:82.73/6.25/62.81
GoldOchreLight			CIELab:82.73/6.25/62.81
gold ochre medium		CIELab:70.86/14.49/76.70
GoldOchreMedium			CIELab:70.86/14.49/76.70
gold ochre dark			CIELab:62.21/14.17/63.50
GoldOchreDark			CIELab:62.21/14.17/63.50
yellow ochre pale light		CIELab:77.37/11.14/83.49
YellowOchrePaleLight		CIELab:77.37/11.14/83.49
yellow ochre pale medium	CIELab:66.29/14.70/75.76
YellowOchrePaleMedium		CIELab:66.29/14.70/75.76
yellow ochre pale dark		CIELab:63.14/12.96/67.46
YellowOchrePaleDark		CIELab:63.14/12.96/67.46
naples yellow light		CIELab:93.93/-2.05/24.19
NaplesYellowLight		CIELab:93.93/-2.05/24.19
naples yellow medium		CIELab:91.41/-0.52/48.31
NaplesYellowMedium		CIELab:91.41/-0.52/48.31
naples yellow dark		CIELab:89.28/1.92/56.29
NaplesYellowDark		CIELab:89.28/1.92/56.29
naples yellow pale light	CIELab:93.36/-2.49/21.76
NaplesYellowPaleLight		CIELab:93.36/-2.49/21.76
naples yellow pale medium	CIELab:92.75/-1.90/39.88
NaplesYellowPaleMedium		CIELab:92.75/-1.90/39.88
naples yellow pale dark		CIELab:92.36/-0.46/43.38
NaplesYellowPaleDark		CIELab:92.36/-0.46/43.38
jaune brilliant light		CIELab:90.85/0.94/38.97
JauneBrilliantLight		CIELab:90.85/0.94/38.97
jaune brilliant medium		CIELab:87.90/4.39/55.21
JauneBrilliantMedium		CIELab:87.90/4.39/55.21
jaune brilliant dark		CIELab:85.86/7.64/60.88
JauneBrilliantDark		CIELab:85.86/7.64/60.88
olive green light		CIELab:51.13/-0.70/38.45
OliveGreenLight			CIELab:51.13/-0.70/38.45
olive green medium		CIELab:41.98/0.14/35.76
OliveGreenMedium		CIELab:41.98/0.14/35.76
olive green dark		CIELab:29.87/1.13/26.23
OliveGreenDark			CIELab:29.87/1.13/26.23
sap green light			CIELab:43.29/-15.06/66.92
SapGreenLight			CIELab:43.29/-15.06/66.92
sap green medium		CIELab:33.53/-15.50/51.80
SapGreenMedium			CIELab:33.53/-15.50/51.80
sap green dark			CIELab:20.91/-14.07/30.49
SapGreenDark			CIELab:20.91/-14.07/30.49
perm sap green light		CIELab:75.99/-14.26/64.55
PermSapGreenLight		CIELab:75.99/-14.26/64.55
perm sap green medium		CIELab:59.63/-16.15/70.67
PermSapGreenMedium		CIELab:59.63/-16.15/70.67
perm sap green dark		CIELab:44.55/-14.76/56.06
PermSapGreenDark		CIELab:44.55/-14.76/56.06
prussian green light		CIELab:51.64/-21.80/31.57
PrussianGreenLight		CIELab:51.64/-21.80/31.57
prussian green medium		CIELab:34.86/-24.64/27.00
PrussianGreenMedium		CIELab:34.86/-24.64/27.00
prussian green dark		CIELab:34.10/-25.26/26.90
PrussianGreenDark		CIELab:34.10/-25.26/26.90
green light			CIELab:35.48/-56.30/10.98
GreenLight			CIELab:35.48/-56.30/10.98
green medium			CIELab:21.51/-47.23/5.75
GreenMedium			CIELab:21.51/-47.23/5.75
green dark			CIELab:10.60/-23.96/-2.58
GreenDark			CIELab:10.60/-23.96/-2.58
green yellow light		CIELab:39.11/-55.53/28.92
GreenYellowLight		CIELab:39.11/-55.53/28.92
green yellow medium		CIELab:33.51/-53.16/25.03
GreenYellowMedium		CIELab:33.51/-53.16/25.03
green yellow dark		CIELab:31.84/-52.60/24.02
GreenYellowDark			CIELab:31.84/-52.60/24.02
viridian light			CIELab:67.22/-24.90/10.91
ViridianLight			CIELab:67.22/-24.90/10.91
viridian medium			CIELab:49.18/-38.76/9.39
ViridianMedium			CIELab:49.18/-38.76/9.39
viridian dark			CIELab:38.43/-43.55/9.34
ViridianDark			CIELab:38.43/-43.55/9.34
co green deep light		CIELab:82.34/-7.52/19.61
CoGreenDeepLight		CIELab:82.34/-7.52/19.61
co green deep medium		CIELab:67.73/-15.29/19.10
CoGreenDeepMedium		CIELab:67.73/-15.29/19.10
co green deep dark		CIELab:39.72/-23.83/16.79
CoGreenDeepDark			CIELab:39.72/-23.83/16.79
cr green deep light		CIELab:65.97/-20.69/11.07
CrGreenDeepLight		CIELab:65.97/-20.69/11.07
cr green deep medium		CIELab:32.93/-23.53/9.43
CrGreenDeepMedium		CIELab:32.93/-23.53/9.43
cr green deep dark		CIELab:27.89/-16.46/5.63
CrGreenDeepDark			CIELab:27.89/-16.46/5.63
oxide of cr light		CIELab:57.76/-16.35/29.67
OxideOfCrLight			CIELab:57.76/-16.35/29.67
oxide of cr medium		CIELab:48.67/-18.96/28.53
OxideOfCrMedium			CIELab:48.67/-18.96/28.53
oxide of cr dark		CIELab:41.69/-19.61/25.72
OxideOfCrDark			CIELab:41.69/-19.61/25.72
terre verte light		CIELab:77.21/-10.88/19.97
TerreVerteLight			CIELab:77.21/-10.88/19.97
terre verte medium		CIELab:60.14/-16.75/22.74
TerreVerteMedium		CIELab:60.14/-16.75/22.74
terre verte dark		CIELab:58.34/-17.19/22.78
TerreVerteDark			CIELab:58.34/-17.19/22.78
perm green deep light		CIELab:48.57/-56.15/26.91
PermGreenDeepLight		CIELab:48.57/-56.15/26.91
perm green deep medium		CIELab:35.07/-55.98/21.53
PermGreenDeepMedium		CIELab:35.07/-55.98/21.53
perm green deep dark		CIELab:26.04/-47.40/14.23
PermGreenDeepDark		CIELab:26.04/-47.40/14.23
perm green light		CIELab:63.26/-44.02/36.05
PermGreenLight			CIELab:63.26/-44.02/36.05
perm green medium		CIELab:51.60/-52.17/36.90
PermGreenMedium			CIELab:51.60/-52.17/36.90
perm green dark			CIELab:46.39/-53.44/35.07
